Gate,Result,Blocker_or_basis
Project and predecessor authority,PASS,REV8_R3R3_R3R4_VERIFIED
Tool baseline,PASS,COMMIT_PINNED_R3R4
Authorized tool delta,PASS,SELFTEST_PLUS_RUN_IDENTITY
Partial-read semantic checks,PASS,ALL_13_REQUIRED_PROPERTIES
Offline self-test suite,FAIL_4_OF_11,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
Architecture hard gate,FAIL_NOT_RUN,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
Credential-helper hard gate,FAIL_NOT_REACHED,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
DUT exclusivity and continuity,NOT_REACHED,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
"Driver, bind, and node-to-BDF",NOT_REACHED,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
Runtime identity and source,NOT_REACHED,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
Persistent first record,NOT_REACHED,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
Finite capture and real frame,NOT_REACHED,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
Cleanup,NOT_REQUIRED,NO_HARDWARE_ACCESS
Engineering,BLOCKED,R3R4R1_CAPTURE_TOOL_HARD_GATE_FAILED
